Document 1,Document 2,Similarity
233.txt,351.txt,0.797
233.txt,352.txt,0.812
233.txt,354.txt,0.773
233.txt,361.txt,0.805
233.txt,375.txt,0.805
233.txt,385.txt,0.836
233.txt,413.txt,0.766
233.txt,416.txt,0.812
233.txt,419.txt,0.836
233.txt,475.txt,0.805
233.txt,477.txt,0.805
240.txt,244.txt,0.672
240.txt,245.txt,0.82
240.txt,249.txt,0.859
240.txt,264.txt,0.656
240.txt,268.txt,0.852
240.txt,274.txt,0.859
240.txt,287.txt,0.836
240.txt,290.txt,0.859
240.txt,293.txt,0.844
240.txt,305.txt,0.82
240.txt,311.txt,0.867
240.txt,315.txt,0.836
240.txt,332.txt,0.867
240.txt,336.txt,0.852
240.txt,351.txt,0.828
240.txt,352.txt,0.836
240.txt,354.txt,0.805
240.txt,361.txt,0.852
240.txt,375.txt,0.852
240.txt,385.txt,0.883
240.txt,413.txt,0.812
240.txt,416.txt,0.836
240.txt,419.txt,0.875
240.txt,475.txt,0.844
240.txt,477.txt,0.836
244.txt,245.txt,0.641
244.txt,249.txt,0.688
244.txt,264.txt,0.781
244.txt,268.txt,0.656
244.txt,274.txt,0.656
244.txt,287.txt,0.641
244.txt,290.txt,0.656
244.txt,293.txt,0.641
244.txt,305.txt,0.641
244.txt,311.txt,0.648
244.txt,315.txt,0.656
244.txt,332.txt,0.656
244.txt,336.txt,0.648
244.txt,351.txt,0.625
244.txt,352.txt,0.68
244.txt,354.txt,0.633
244.txt,361.txt,0.648
244.txt,375.txt,0.664
244.txt,385.txt,0.68
244.txt,413.txt,0.617
244.txt,416.txt,0.648
244.txt,419.txt,0.664
244.txt,475.txt,0.672
244.txt,477.txt,0.641
245.txt,249.txt,0.797
245.txt,264.txt,0.609
245.txt,268.txt,0.797
245.txt,274.txt,0.789
245.txt,287.txt,0.758
245.txt,290.txt,0.789
245.txt,293.txt,0.797
245.txt,305.txt,0.766
245.txt,311.txt,0.789
245.txt,315.txt,0.797
245.txt,332.txt,0.797
245.txt,336.txt,0.789
245.txt,351.txt,0.75
245.txt,352.txt,0.781
245.txt,354.txt,0.75
245.txt,361.txt,0.766
245.txt,375.txt,0.789
245.txt,385.txt,0.812
245.txt,413.txt,0.773
245.txt,416.txt,0.789
245.txt,419.txt,0.805
245.txt,475.txt,0.789
245.txt,477.txt,0.797
249.txt,264.txt,0.656
249.txt,268.txt,0.828
249.txt,274.txt,0.836
249.txt,287.txt,0.828
249.txt,290.txt,0.82
249.txt,293.txt,0.82
249.txt,305.txt,0.82
249.txt,311.txt,0.836
249.txt,315.txt,0.82
