doc_id,image_url
30,https://i1-dulich.vnecdn.net/2024/11/14/z40442897696355c9d42e9322e9e06-8213-8804-1731577227.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=iKtS8yHBZWL3FknP7QqI_A
31,https://i1-dulich.vnecdn.net/2023/12/18/pha1-1702890533-1702890552-9831-1702890727.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=FPXv_7prFzt29Pp9A-Z4ZQ
32,https://i1-dulich.vnecdn.net/2023/12/10/sent-1702147494-1702147532-8972-1702147840.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=0N-k9J8SwrZ4S7TFdwlIqw
33,https://i1-dulich.vnecdn.net/2023/09/09/520594cc5eee8bb0d2ff-169425688-7118-5444-1694257093.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=MyqD1eEEvQTby68fNr0QMg
34,https://i1-dulich.vnecdn.net/2023/08/19/dongvan-1692418002-1692418030-8457-1692418844.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=UOBEb1OfFTM95pM9KUwbKA
35,https://i1-dulich.vnecdn.net/2023/05/31/dl1-1685522722-1685522729-8242-1685523593.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=qWawyPzxvs04B9j7OTHtGg
36,https://i1-dulich.vnecdn.net/2023/04/20/denhung-1681965484-4803-1681965490.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=FomNY9OZO2qYxqzmhEhIdw
37,https://i1-dulich.vnecdn.net/2022/06/03/cauvang-1654247842-9403-1654247849.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Swd6JjpStebEzT6WARcoOA
38,https://i1-dulich.vnecdn.net/2022/04/25/11buoisangbinhyendoicohonghoda-3206-3054-1650882782.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=QIjlhC0yChbDTt-H7TkjKg
39,https://i1-dulich.vnecdn.net/2022/04/21/dkl-1650530669-1650530678-9435-1650530684.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=C0Aej1sHWVNTiorWLF0UUQ
40,https://i1-dulich.vnecdn.net/2025/04/18/z6516648694973-259df00d1deba791e372e54b802daf3f-1744946004-1744947493.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=gC7OZjv7APkYrENRF0QaDg
41,https://i1-dulich.vnecdn.net/2023/10/25/thongt-1698224685-1698224706-7509-1698229160.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=emDIFRhUHJObHMYGZQwvLw
42,https://i1-dulich.vnecdn.net/2024/05/15/hatientt-1715768534-1715768564-7174-1715768611.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=1vLFzKyanDUrJmOx3mwS7g
43,https://i1-dulich.vnecdn.net/2024/05/08/hokego-1715163958-1715163968-4824-1715165619.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=K1jSPojli02GHljt9PZ0RQ
44,https://i1-dulich.vnecdn.net/2023/09/12/bb5-1694513079-1694513090-9951-1694518071.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=XndO-pIWDrh42f2vGhjVyA
45,https://i1-dulich.vnecdn.net/2022/05/17/banhdauxanh-1652765222-1652765-1176-5777-1652765294.png?w=1200&h=0&q=100&dpr=1&fit=crop&s=NNscsezx_nljrWA68DT3IA
46,https://i1-dulich.vnecdn.net/2022/05/12/maichauhideawaylakeresort12116-2557-3347-1652355363.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=ArgnARX1jUyOi7RJbQc5Ew
47,https://i1-dulich.vnecdn.net/2022/05/12/hnamvietravel-1652345773-16523-1685-7071-1652345811.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=Masnz4-G67Imri5TT0QjHw
48,https://i1-dulich.vnecdn.net/2022/05/11/hoaphuong-1652265441-165226544-5930-9862-1652265578.jpg?w=1200&h=0&q=100&dpr=1&fit=crop&s=vcG2zpVeqF7MGbSurNeNxQ
