document,total_words,unique_words,top_words
147.txt,1651,787,"đảo, lý_sơn, huyện, quảng_ngãi, hòn, việt_nam, tỉnh, xã, biển, đặc_khu"
148.txt,1901,848,"hồ, bể, kdt, chùa, di_tích, đền, đình, quốc_gia, thành, hai"
149.txt,1454,640,"tam_đảo, núi, hồ, du_lịch, phú_thọ, hà_nội, dãy, xã, khí_hậu, suối"
15.txt,1127,555,"bến_tre, dừa, du_khách, miền, dân, ảnh, du_lịch, sông, thưởng_thức, cồn"
150.txt,7883,2151,"thành, hà_nội, điện, thăng_long, lê, thời, m, hoàng_thành, mạc, cửa"
151.txt,4310,1582,"thành, hồ, đá, di_tích, đền, chùa, núi, đàn, kdt, tường"
152.txt,326,207,"vịnh, trang, lan_hạ, cát_bà, nội_dung, viết, wikipedia, giúp, tham_khảo, việt_nam"
153.txt,197,129,"tô, tỉnh, trang, định_hướng, an_giang, quảng_ninh, sửa, đặc_khu, huyện, nội_dung"
154.txt,3252,1228,"cát_bà, đảo, quần_đảo, vịnh, biển, thế_giới, kdt, di_sản, loài, hạ_long"
155.txt,4877,1349,"phú_quốc, khu_phố, thành, tỉnh, đổi, xã, an_thới, đặc_khu, dương_đông, đảo"
156.txt,849,419,"phú_quốc, bãi, du_lịch, biển, đảo, kiên_giang, bãi_dài, mia, gành, dầu"
157.txt,4143,1609,"côn_đảo, hòn, đảo, b, việt_nam, pháp, đ, đặc_khu, vũng_tàu, thành_phố"
158.txt,1252,676,"hang, sơn_đoòng, động, cáp, hang_động, dự_án, truy_cập, hang_sơn_đoòng, treo, việt_nam"
159.txt,13,13,"oxalisadventure, com, verifying, you, are, human, this, may, take, a"
16.txt,1561,759,"buôn_ma_thuột, cà_phê, ảnh, thành_phố, du_lịch, du_khách, đăk, lăk, đường, đồng"
160.txt,4254,1382,"việt_nam, cúc_phương, khu, loài, vườn, bảo_tồn, quốc_gia, núi, dự_trữ, sinh_quyển"
161.txt,362,164,"du_lịch, dịch_vụ, tham_quan, bạch_mã, hoạt_động, vườn, thư_viện, quốc_gia, bảo_tồn, thiên_nhiên"
162.txt,2206,872,"cát_tiên, kdt, quốc_gia, chùa, việt_nam, rừng, vườn, đền, khu, di_tích"
163.txt,1555,632,"núi, biển, khu_vực, suối, độ, địa_hình, đất, bắc, đông, nam"
164.txt,1309,539,"vườn, quốc_gia, khu, hồ, loài, bể, bảo_tồn, việt_nam, núi, tự_nhiên"
165.txt,825,490,"quốc_gia, vườn, núi, du_lịch, bến_en, lễ_hội, khu, sông, đền, nội_dung"
166.txt,1343,616,"hồ, núi_cốc, du_lịch, đập, thái_nguyên, thành_phố, núi, khu, sông, xây_dựng"
167.txt,711,367,"hồ, du_lịch, ninh_bình, hồ_yên_thắng, sân, golf, hoa_lư, chùa, lễ_hội, đồng"
168.txt,624,340,"hồ, truy_cập, đồng_nai, tà_đùng, báo, đắk, nông, du_lịch, hạ_long, tây_nguyên"
169.txt,292,190,"hồ, đồng_nai, trị_an, viết, nội_dung, wikipedia, tham_khảo, trang, giúp, việt_nam"
17.txt,1505,679,"chùa, bái, đính, m, tượng, du_khách, điện, phật, đồng, núi"
170.txt,285,212,"hồ, viết, nội_dung, trang, wikipedia, giúp, chú_thích, xạ_hương, núi, đá"
171.txt,931,329,"du_lịch, khách_sạn, hồ, ảnh, đà_lạt, ivivu, xạ_hương, núi, hà_nội, vũng_tàu"
172.txt,867,438,"đà_lạt, hồ, du_lịch, hồ_xuân_hương, khu, gọi, xuân_hương, vườn, hoa, thác"
173.txt,1250,448,"mặc_định, chè, đồi, mộc_châu, hoa, sương_mù, đẹp, sống, lớp, du_khách"
174.txt,1059,465,"kdt, chùa, di_tích, đình, đền, hang, chiến_thắng, hồ_chí_minh, đường, pác_bó"
175.txt,255,179,"viết, trang, kim_bôi, nội_dung, wikipedia, tiêu_chuẩn, suối, nóng, sơ_khai, giúp"
176.txt,12,12,"vinpearl, com, verify, you, are, human, by, completing, the, action"
177.txt,721,445,"biển, sầm_sơn, bãi, lễ_hội, du_lịch, đền, núi, khu, viết, chùa"
178.txt,830,398,"sầm_sơn, phường, tỉnh, hành_chính, thanh_hóa, thọ, tổ, dân_phố, pdf, nghị_quyết"
179.txt,545,289,"phường, hành_chính, việt_nam, vinh, viết, cửa, lò, xã, cửa_lò, tỉnh"
18.txt,1168,537,"tam_chúc, chùa, du_lịch, du_khách, điện, khu, xe, m, hồ, đi"
180.txt,2007,804,"cửa_lò, du_lịch, biển, cửa, đảo, lò, khu, thị_xã, phường, sông"
182.txt,390,218,"trang, viết, phường, lịch_sử, wikipedia, xóa, cửa_đại, hiện, tiêu_đề, ngôn_ngữ"
183.txt,2000,600,"vinwonders, biển, cửa, phú_quốc, đại, safari, grand, hội_an, vinpearl, trải"
184.txt,244,149,"biển, đà_nẵng, bãi, viết, liên_kết, nội_dung, wikipedia, mỹ_khê, trang, giúp"
186.txt,2489,1070,"núi, đen, tây_ninh, du_lịch, khu, đỉnh, báo, việt_nam, quốc_gia, m"
187.txt,2939,1163,"núi, đen, tây_ninh, du_khách, du_lịch, tượng, nhà_ga, chùa, đỉnh, trải"
188.txt,894,470,"núi, hàm_rồng, sapa, hoa, đá, đẹp, vườn, mia, đào, hình"
189.txt,523,290,"sapa, trời, cổng, đèo, đẹp, đường, mia, larita, đại, đỉnh"
19.txt,1212,565,"cù_lao_chàm, cù_lao, đảo, chàm, biển, bãi, đồng, du_khách, du_lịch, hòn"
190.txt,1356,712,"thác, giốc, trung_quốc, việt_nam, sông, thác_bản, biên_giới, hai, chùa, du_lịch"
191.txt,657,377,"làng, thác, du_lịch, thống_kê, đẹp, giốc, nghề, lịch_sử, trải, sản_phẩm"
192.txt,698,417,"động, trang, viết, phong_nha, hang_động, giúp, nội_dung, liên_kết, cải_thiện, hang"
193.txt,12569,1872,"khám_phá, du_lịch, hà_nội, flag, biển, top, đẹp, đặc_sản, ngon, cẩm_nang"
195.txt,12,12,"oxalisadventure, com, verify, you, are, human, by, completing, the, action"
196.txt,54,24,"tham_quan, mở_cửa, trở_lại, 1km, hệ_thống, cầu_thang, gỗ, khám_phá, trải, nghiệm"
198.txt,986,529,"hồ, lắk, rừng, du_lịch, lịch_sử, văn_hóa, khu, loài, môi_trường, buôn"
199.txt,1786,667,"hồ_lắk, khu, du_lịch, du_khách, ảnh, thiên_nhiên, văn_hóa, m, hồ, món"
2.txt,1359,725,"bắc_giang, chùa, huyện, hà_nội, du_khách, đi, núi, làng, mùa, đồng"
20.txt,1519,727,"châu_đốc, cá, núi, món, du_khách, sam, miền, mắm, an_giang, đường"
200.txt,2432,656,"túi, more, phụ_kiện, núi, leo, trại, dã_ngoại, balo, đồ, xe_đạp"
201.txt,1053,568,"thác, đà_lạt, du_lịch, khu, bri, việt_nam, lâm_đồng, đa, m, nhà_thờ"
202.txt,202,101,"đamb, ri, khu, thác, ưu_đãi, địa_phương, tỉnh, đu_quay, lồng, nhà_hàng"
203.txt,1053,411,"tour, thác, mộc_châu, du_lịch, dải_yếm, ecotour, mười, hai, đà_nẵng, trắng"
204.txt,372,192,"thác, thống_kê, mộc_châu, du_khách, văn_bản, thủ_tục, cơ_sở, đẹp, du_lịch, chức_năng"
205.txt,1139,646,"thác, đà_lạt, du_lịch, việt_nam, khu, lâm_đồng, nhà_thờ, suối, thác_pongour, đá"
207.txt,1263,692,"thác, đà_lạt, du_lịch, việt_nam, khu, prenn, suối, vườn, hoa, lâm_đồng"
21.txt,1141,553,"rừng, khu, du_khách, du_lịch, tp, đồng, đảo, hcm, ảnh, chim"
210.txt,340,176,"edition, môi_trường, hồ, doanh_nghiệp, xanh, hội_đồng, biên_tập, tạp_chí, thiên_nhiên, việt_nam"
211.txt,906,449,"hồ, đi, vé, đẹp, đắk_lắk, hồ_lắk, trải, du_khách, nghiệm, du_lịch"
212.txt,1201,492,"vũng_tàu, xanh, hồ_đá, hồ, đẹp, khách_sạn, du_lịch, traveloka, đá, thành_phố"
213.txt,1192,428,"vé, đi, máy_bay, xanh, du_lịch, hồ_đá, vũng_tàu, thành_phố, miền, hồ"
214.txt,1397,565,"núi, du_lịch, đà_lạt, langbiang, đỉnh, khu, đồi, vườn, đi, chinh_phục"
216.txt,1371,522,"hồ, du_lịch, đà_lạt, khu, thành_phố, lâm_đồng, quốc_gia, cà_mau, phú_thọ, thác"
217.txt,1008,462,"hồ, đà_lạt, đi, du_lịch, tuyền_lâm, đẹp, khu, resort, thành_phố, du_khách"
218.txt,1858,779,"núi, chứa_chan, truy_cập, đồng_nai, báo, du_lịch, đá, b, đỉnh, a"
219.txt,669,384,"núi, dinh, truy_cập, bà_rịa, chùa, vũng_tàu, báo, thành_phố, hai, núi_dinh"
22.txt,804,453,"đảo, xanh, cù_lao, biển, du_khách, cù_lao_xanh, du_lịch, bãi, hải_đăng, quy_nhơn"
220.txt,1005,545,"núi, dinh, chùa, vũng_tàu, đường, mia, đi, biển, vn, đỉnh"
221.txt,823,466,"biển, hòn, khu, lặn, mun, đảo, nha_trang, hòn_mun, san_hô, vịnh"
222.txt,1068,479,"nha_trang, biển, hòn, đảo, mun, du_lịch, vnd, khám_phá, lặn, hoạt_động"
224.txt,1319,668,"hòn, đảo, truy_cập, nha_trang, khu, du_lịch, hòn_tằm, tằm, biển, vịnh"
225.txt,834,424,"phú_yên, hòn_nưa, biển, đi, đảo, đẹp, khám_phá, hòn, ngắm, lịch_trình"
226.txt,651,376,"hòn, đảo, nưa, biển, đẹp, đi, san_hô, tour, traveloka, du_lịch"
227.txt,334,215,"đảo, bình, bình_ba, bãi, báo, liên_kết, việt_nam, truy_cập, trang, nội_dung"
228.txt,869,488,"sơn_trà, bán_đảo, đà_nẵng, núi, xây_dựng, biển, tự_nhiên, khu, vn, thành_phố"
229.txt,939,308,"tour, khởi_hành, đà_nẵng, du_lịch, sơn_trà, biển, bán_đảo, miền, châu, khu_vực"
23.txt,1337,622,"đảo, tô, biển, bãi, đi, du_khách, ảnh, tàu, huyện, bão"
230.txt,1122,639,"cù_lao, đảo, chàm, việt_nam, biển, khu, cà_mau, liên_kết, cù_lao_chàm, hòn"
232.txt,2079,860,"khu, thành_phố, rừng, công_viên, loài, ngập_mặn, nhà_thờ, du_lịch, sinh_thái, hệ"
234.txt,746,332,"rừng, loài, giới_thiệu, huyện, khu, phòng_hộ, quản_lý, rnm, phát_triển, du_lịch"
235.txt,1478,667,"loài, vườn, quốc_gia, chim, biển, khu, hệ, sinh_thái, xuân_thủy, ngập"
236.txt,1015,505,"vườn, quốc_gia, nam_định, khu_vực, tham_quan, xuân_thủy, chim, thiên_nhiên, hệ, vnđ"
237.txt,1503,643,"khu, vân_long, bảo_tồn, loài, du_lịch, núi, sinh_thái, ngập, ninh_bình, thiên_nhiên"
238.txt,391,210,"ninh_bình, khu, thiên_nhiên, bảo_tồn, du_lịch, đi, vân_long, khách_sạn, long, khám_phá"
24.txt,1649,706,"cà_mau, rừng, cá, du_khách, đồng, nghiệm, du_lịch, trải, km, đường"
242.txt,2195,659,"ubnd, tp, hồ_chí, thông_tin, chỉ_đạo, minh, hồ_chí_minh, thành_phố, điều_hành, qđ"
244.txt,12,12,"oxalisadventure, com, verify, you, are, human, by, completing, the, action"
247.txt,1183,399,"dự_án, đất, quốc_gia, cúc_phương, tỉnh, ninh_bình, môi_trường, đất_đai, giấy, chứng_nhận"
248.txt,449,247,"vườn, quốc_gia, bạch_mã, việt_nam, huế, thành_phố, loài, trang, liên_kết, mã"
25.txt,1593,792,"giốc, núi, thác, đi, du_khách, mùa, đẹp, km, đường, đồng"
251.txt,486,239,"cát_tiên, rừng, hệ, vqg, đa_dạng, sinh_học, loài, sinh_thái, động_vật, thông_tin"
253.txt,848,401,"vườn_quốc_gia, núi_chúa, loài, núi, biển, khám_phá, du_lịch, chúa, rừng, ninh_thuận"
256.txt,1434,493,"chè, đồi, mộc_châu, trái_tim, mùa, ảnh, đẹp, hoa, trải, nghiệm"
257.txt,1209,454,"chè, đồi, mộc_châu, ảnh, trái_tim, pys, travel, du_lịch, đẹp, love"
