document,total_words,unique_words,top_words
347.txt,2806,722,"du_lịch, khách_sạn, resort, villa, thác, miền, tác, homestay, đà_lạt, tình"
348.txt,979,477,"đền, cố_đô, hoa_lư, vua, thờ, chùa, công_trình, đô, thời, hang"
349.txt,1951,737,"du_lịch, vua, hoa_lư, cố_đô, thờ, ẩm_thực, đền, miền, hà_nội, đinh"
35.txt,671,326,"đại_lải, hồ, du_lịch, khu, vĩnh_phúc, đảo, du_khách, đồng, resort, đi"
350.txt,1486,571,"chùa, hương, hà_nội, du_khách, lễ_hội, tour, động, tham_quan, quần_thể, âm_lịch"
353.txt,1219,548,"lăng_cô, vnd, huế, du_lịch, vịnh, biển, vé, đi, đẹp, giá"
355.txt,588,267,"du_lịch, sông, hương, khách_hàng, báo_cáo, huế, nước_ngoài, chăm_sóc, vietravel, mùa"
356.txt,2593,813,"làng, cổ, đường, vinwonders, lâm, hà_nội, phú_quốc, vé, grand, vinpearl"
357.txt,929,444,"làng, cổ, đường, lâm, hà_nội, mùa, du_lịch, lễ_hội, mông_phụ, lúa"
358.txt,1164,508,"khách_sạn, du_lịch, khu, hà_nội, quốc_gia, vườn, hoa, 000đ, vé, giá"
359.txt,2641,821,"vinwonders, quốc_gia, vườn, vé, phú_quốc, hà_nội, park, trải, đẹp, vinpearl"
36.txt,1525,682,"hùng, đền, âm_lịch, giỗ, núi, phú_thọ, tổ, vương, thờ, vua"
360.txt,519,273,"tháp, quy_nhơn, đôi, tour, chăm, du_lịch, độc_đáo, bình_định, quy, nhơn"
362.txt,1534,493,"nhà_thờ, gà, đà_lạt, kiến_trúc, du_khách, tham_quan, độc_đáo, văn_hóa, xe_máy, lịch_sử"
363.txt,858,468,"nhà_thờ, đà_lạt, gà, chánh_tòa, du_lịch, kiến_trúc, đi, tour, hoa, gọi"
364.txt,3977,833,"vinwonders, dinh, vé, phú_quốc, bảo, vinpearl, đại_đà_lạt, cửa, grand, combo"
365.txt,1140,379,"du_lịch, dinh, đà_lạt, khách_sạn, bảo, đại, kiến_trúc, tp, ivivu, thông"
366.txt,1722,567,"vinwonders, núi, voi, phú_quốc, hải_phòng, grand, vinpearl, vũ_yên, safari, nha_trang"
367.txt,1518,668,"núi, voi, hải_phòng, du_lịch, đi, đẹp, hà_nội, khám_phá, lịch_sử, lễ_hội"
368.txt,1627,538,"du_lịch, phố, bùi_viện, đi, ẩm_thực, xe, quán, miền, du_khách, hồ_chí"
369.txt,894,442,"bùi_viện, phố, đi, đêm, quán, bar, món, 000đ, đường, xe"
37.txt,3060,1278,"đà_nẵng, đường, du_khách, thành_phố, ảnh, cầu, biển, đồng, du_lịch, món"
370.txt,3443,860,"du_lịch, khách_sạn, resort, cần_thơ, miền, villa, bến_ninh_kiều, homestay, đà_lạt, di_chuyển"
371.txt,564,318,"bến_ninh_kiều, cần_thơ, du_lịch, địa_điểm, ninh_kiều, đi, thành_phố, đêm, hoạt_động, du_thuyền"
372.txt,1662,573,"du_lịch, bãi, phú_quốc, biển, khem, ẩm_thực, miền, hà_nội, đà_nẵng, đà_lạt"
373.txt,3271,744,"du_lịch, khách_sạn, resort, phú_quốc, bãi, khem, villa, biển, miền, du_khách"
374.txt,641,296,"hồ, khách_sạn, tiếng, du_lịch, dầu, ảnh, tây_ninh, st, vntrip, khu"
376.txt,1509,574,"du_lịch, khu, bửu_long, bửu, long, đồng_nai, du_khách, hồ, núi, tour"
377.txt,1017,366,"du_lịch, khách_sạn, khu, vé, đà_lạt, ivivu, núi, hà_nội, vũng_tàu, cẩm_nang"
378.txt,1615,675,"sài_gòn, thành_phố, hồ_chí_minh, khu_du_lịch, 000đ, du_lịch, trải, nghiệm, bửu, địa_điểm"
379.txt,1026,454,"hà_giang, cột, cờ, lũng, cú, đồng_văn, đi, khách_sạn, núi, du_lịch"
38.txt,918,558,"đà_lạt, du_khách, đồng, cà_phê, mùa, đi, vườn, gà, du_lịch, tham_quan"
380.txt,470,268,"cờ, cột, lũng, cú, hà_giang, mia, larita, lũng_cú, đường, đỉnh"
381.txt,3152,719,"du_lịch, khách_sạn, resort, sapa, đá, villa, cổ, bãi, miền, homestay"
382.txt,629,318,"khách_sạn, đá, sapa, bãi, cổ, du_lịch, đẹp, thung_lũng, vntrip, bí_ẩn"
383.txt,1029,423,"thung_lũng, mường_hoa, sapa, suối, tour, du_khách, ruộng, bậc_thang, du_lịch, đẹp"
384.txt,3641,799,"vinwonders, vé, phú_quốc, vinpearl, cửa, combo, grand, thung_lũng, mường_hoa, safari"
386.txt,1112,516,"huế, cầu, vnd, đi, thành_phố, tiền, du_khách, trường, sông, hue"
387.txt,1047,394,"du_lịch, khách_sạn, chùa, keo, gác_chuông, đà_lạt, tam_quan, ivivu, thái_bình, ảnh"
388.txt,886,444,"chùa, keo, thái_bình, lễ_hội, mùa, kiến_trúc, du_lịch, văn_hóa, phật, thu"
389.txt,1508,524,"áo, đồng_phục, chùa, gia_đình, lớp, bút_tháp, mùa, bắc_ninh, đi, cổ"
39.txt,1773,760,"voi, lăk, đồng, rừng, du_lịch, đăk, thác, hồ, buôn_ma_thuột, đi"
390.txt,2181,840,"du_lịch, chùa, tượng, bút_tháp, đá, tháp, hai, vé, miền, bắc"
391.txt,3150,867,"du_lịch, khách_sạn, resort, hùng, phú_thọ, đền, villa, miền, homestay, đà_lạt"
392.txt,2080,698,"du_lịch, đền, hùng, núi, vua, phú_thọ, xây, vé, đá, miền"
393.txt,1014,383,"du_lịch, khách_sạn, gốm, phù_lãng, đà_lạt, ivivu, ảnh, việt_nam, hà_nội, vũng_tàu"
394.txt,2838,655,"du_lịch, khách_sạn, resort, villa, gốm, phù_lãng, miền, homestay, hà_nội, làng_gốm"
395.txt,617,327,"gốm, phù_lãng, làng, sản_phẩm, làng_gốm, bắc_ninh, traveloka, đi, khám_phá, du_lịch"
396.txt,603,304,"khách_sạn, du_lịch, khu, bình_dương, đại_nam, ảnh, st, vntrip, vui_chơi, biển"
397.txt,3093,743,"du_lịch, resort, khách_sạn, villa, miền, khu, sài_gòn, đại_nam, bình_dương, homestay"
398.txt,1386,554,"du_lịch, đại_nam, khu, khách_sạn, xe, trò_chơi, đua, vé, bình_dương, tàu"
399.txt,901,419,"hòn, đảo, tour, khoai, miền, tây, du_lịch, biển, cần_thơ, du_khách"
4.txt,1776,840,"quy_nhơn, bình_định, biển, đồng, thành_phố, du_lịch, km, du_khách, giá, khu"
40.txt,1766,646,"mặc_định, dinh, phòng, tham_quan, hai, tổng_thống, tp, độc_lập, tầng, hcm"
400.txt,1447,547,"du_lịch, đảo, hòn, tour, khoai, châu, cà_mau, biển, rừng, miền"
401.txt,532,305,"chùa, hương_tích, hà_tĩnh, du_khách, đi, hồng_lĩnh, du_lịch, lễ_hội, khám_phá, núi"
402.txt,1980,721,"áo, chùa, đồng_phục, gia_đình, hương_tích, lớp, hà_tĩnh, núi, đi, biển"
403.txt,3566,758,"vinwonders, vé, phú_quốc, chùa, vinpearl, cửa, hà_tĩnh, grand, hương_tích, combo"
404.txt,835,362,"thảo, cầm_viên, khách_sạn, sài_gòn, thú, vé, khu, vui_chơi, xe, vườn"
405.txt,1568,538,"du_lịch, thú, xe, ẩm_thực, thảo, cầm_viên, khu, miền, sài_gòn, cổng"
406.txt,706,324,"tour, miền, chợ_nổi, tây, du_lịch, long_xuyên, cần_thơ, an_giang, dân, sông"
407.txt,516,280,"chợ_nổi, long_xuyên, an_giang, khám_phá, vé, du_lịch, du_khách, traveloka, máy_bay, sài_gòn"
408.txt,921,312,"du_lịch, khách_sạn, miền, chợ_nổi, đà_lạt, ivivu, hà_nội, vũng_tàu, cẩm_nang, phú_quốc"
409.txt,833,407,"du_lịch, bến_tre, khu, làng, xanh, hoạt_động, thưởng_thức, trò_chơi, ẩm_thực, mia"
41.txt,1842,806,"gia_lai, pleiku, thác, du_khách, ảnh, nằm, hai, du_lịch, đường, đẹp"
410.txt,1003,329,"du_lịch, tour, châu, khu, bến_tre, miền, làng, nước_ngoài, vé, bắc"
411.txt,967,412,"du_lịch, cà_mau, khu, mũi, tham_quan, rừng, khai_long, đi, cực, nam"
412.txt,1193,439,"mặc_định, cà_mau, cực, mũi, du_khách, du_lịch, nam, đất_mũi, rừng, sống"
414.txt,1813,698,"đồ_sơn, biển, đi, hải_phòng, vnd, du_lịch, khu, đẹp, vui_chơi, xe"
415.txt,1203,583,"đồ_sơn, du_lịch, hải_phòng, biển, mùa, khu, món, ngon, thiên_đường, tham_quan"
417.txt,748,392,"nóng, tiên, lãng, suối, du_lịch, hải_phòng, suối_khoáng, tour, tiên_lãng, khu"
418.txt,3408,733,"vinwonders, vé, phú_quốc, vinpearl, cửa, thác, grand, combo, safari, voi"
42.txt,1258,649,"hà_tiên, du_khách, biển, món, nằm, đảo, tôm, du_lịch, đường, hòn"
420.txt,831,274,"du_lịch, khách_sạn, đầm, đà_lạt, ivivu, hà_nội, vũng_tàu, cẩm_nang, phú_quốc, tp"
421.txt,818,394,"đầm, phú_yên, đẹp, ô_loan, du_lịch, tỉnh, vnd, traveloka, loan, ô"
422.txt,1044,468,"thác, du_khách, nung, liêng, đẹp, đắk, du_lịch, đi, nông, thành_phố"
423.txt,877,327,"du_lịch, khách_sạn, thác, đà_lạt, ivivu, hà_nội, vũng_tàu, cẩm_nang, việt_nam, phú_quốc"
424.txt,3641,748,"vinwonders, vé, phú_quốc, vinpearl, tràm, grand, hồ, combo, cửa, safari"
425.txt,1228,472,"vũng_tàu, khách_sạn, tràm, hồ, du_lịch, biển, bãi, miền, bà_rịa, vietgoing"
426.txt,1292,562,"biển, hồ_cốc, vnd, vũng_tàu, du_lịch, bãi, resort, đi, hồ, đẹp"
427.txt,2032,628,"biển, vũng_tàu, hồ_cốc, đi, bãi, du_lịch, tour, đẹp, đường, du_khách"
428.txt,1032,434,"tour, miền, cá, tây, du_lịch, nổi, châu_đốc, làng, bè, sông"
429.txt,777,402,"nổi, làng, châu_đốc, sông, cá, miền, tây, du_lịch, an_giang, nuôi"
43.txt,1519,725,"hà_tĩnh, biển, huyện, du_khách, đồng, xanh, đường, sông, món, núi"
430.txt,895,449,"bạc_liêu, công_tử, hotel, lieu, du_lịch, địa_điểm, bac, thành_phố, máy_bay, đi"
431.txt,950,453,"miền, bạc_liêu, tây, tour, du_lịch, công_tử, cần_thơ, kiến_trúc, thự, pháp"
432.txt,1410,639,"núi, du_lịch, cấm, tour, miền, tây, đi, núi_cấm, cần_thơ, vnđ"
433.txt,1003,480,"núi, du_lịch, khu, cấm_an_giang, vnd, cấm, an_giang, lâm_viên, đi, vé"
434.txt,3745,763,"vinwonders, vé, phú_quốc, biển, vinpearl, cửa, hà_tĩnh, grand, combo, safari"
435.txt,886,412,"biển, du_lịch, thiên_cầm, bãi, vé, núi, kinh_nghiệm, đi, đẹp, giờgiá"
436.txt,691,371,"đèo, hải_vân, đà_nẵng, đi, biển, đường, du_khách, đẹp, quan, cung"
437.txt,2099,774,"đèo, hải_vân, huế, đi, đường, du_lịch, đẹp, cung, núi, tour"
438.txt,1752,516,"nha_trang, vinwonders, hòn, chồng, phú_quốc, vinpearl, grand, vé, hòn_vợ, đi"
439.txt,986,471,"hòn, chồng, đá, nha_trang, biển, tham_quan, vợ, đẹp, mia, du_lịch"
44.txt,1062,508,"hồ, bể, bắc_kạn, du_lịch, du_khách, đi, m, thuyền, đồng, hai"
440.txt,1162,501,"nha_trang, vnd, ponagar, tháp, tham_quan, tháp_bà, tour, du_khách, khách_sạn, du_lịch"
441.txt,2032,620,"vinwonders, nha_trang, tháp, phú_quốc, ponagar, vinpearl, vé, grand, kiến_trúc, công_viên"
442.txt,993,360,"du_lịch, khách_sạn, hiến, phố, đà_lạt, ivivu, ảnh, hà_nội, vũng_tàu, châu"
443.txt,2297,775,"vinwonders, hiến, phố, hưng_yên, phú_quốc, park, chùa, đền, grand, du_khách"
444.txt,1449,626,"chùa, tam_chúc, đi, xe_máy, hà_nội, điện, du_lịch, xe, thuê, motogo"
445.txt,2434,601,"du_lịch, chùa, tam_chúc, hà_nam, tour, điện, miền, thành, bắc, malaysia"
447.txt,1023,413,"né, mũi, khách_sạn, vnd, phan_thiết, đồi, cát_mũi, du_lịch, du_khách, địa_điểm"
448.txt,3441,662,"vinwonders, vé, phú_quốc, cát, đồi, vinpearl, cửa, combo, grand, safari"
449.txt,914,455,"miếu, bà_chúa_xứ, núi, tượng, châu_đốc, sam, an_giang, du_lịch, thành_phố, mia"
45.txt,1991,999,"hải_dương, ảnh, chùa, xã, núi, hoa, đi, làng, đậu_xanh, mùa"
450.txt,1207,600,"miền, miếu, tour, tây, du_lịch, bà_chúa_xứ, tượng, núi, cần_thơ, sam"
451.txt,3939,927,"vinwonders, vé, phú_quốc, miếu, bà_chúa_xứ, vinpearl, cửa, grand, safari, combo"
452.txt,739,360,"tour, miền, tây, du_lịch, chợ_nổi, cần_thơ, ngã_bảy, sông, chợ, ghe"
453.txt,1081,508,"chợ_nổi, miền, chợ, tây, du_lịch, ngã_bảy, ngã, bảy, đi, hậu_giang"
454.txt,645,304,"miền, tour, tây, chợ_nổi, du_lịch, cần_thơ, ngã, thông_tin, sóc_trăng, mua"
455.txt,937,347,"du_lịch, khách_sạn, chợ_nổi, ngã, đà_lạt, ivivu, hà_nội, vũng_tàu, ghe, cẩm_nang"
456.txt,802,392,"vườn, yokdon, quốc_gia, đi, vnđ, voi, trải, nghiệm, loài, khám_phá"
457.txt,1287,551,"quốc_gia, vườn, yok_đôn, yok, don, rừng, loài, xanh, ảnh, di_chuyển"
458.txt,871,456,"thác, dray, sáp, du_lịch, mùa, đi, tây_nguyên, dòng, tour, đắk"
459.txt,762,406,"thác, d, ray, sap, dòng, mùa, du_lịch, traveloka, đi, đường"
46.txt,1347,675,"du_khách, hòa_bình, mùa, đồng, đường, lá, thịt, khu, nằm, đi"
460.txt,1200,444,"du_lịch, đảo, khách_sạn, ngọc_vừng, vịnh, ivivu, cẩm_nang, đà_lạt, hà_nội, biển"
461.txt,825,396,"đảo, ngọc_vừng, du_lịch, quảng_ninh, ngọc, đi, vé, biển, tham_quan, traveloka"
462.txt,3530,732,"vinwonders, vé, cát, phú_quốc, vinpearl, cửa, combo, grand, safari, công_viên"
463.txt,1401,493,"du_lịch, khách_sạn, cát, sapa, hà_nội, ivivu, đà_lạt, đẹp, cẩm_nang, vé"
464.txt,2085,474,"du_lịch, phìn, tả, tour, thành, miền, malaysia, châu, văn_hóa, bắc"
465.txt,1163,493,"phìn, tả, sapa, đẹp, du_khách, xe_máy, đi, dao, thổ_cẩm, đỏ"
466.txt,822,461,"đền, trần_nam_định, trần, thờ, vị, ấn, lễ_hội, mia, larita, nam_định"
467.txt,1142,556,"đền, trần, trần_nam_định, đi, nam_định, ấn, thờ, lễ, khai, traveloka"
468.txt,1586,751,"tour, miền, dừa, du_lịch, tây, cồn, cồn_phụng, phụng, bến_tre, cần_thơ"
469.txt,848,383,"cồn, du_lịch, phụng, khu, bến_tre, dừa, shutterstock, ghé, đi, khám_phá"
47.txt,1320,653,"hà_nam, chùa, cá, kho, núi, du_lịch, hà_nội, đồng, tam_chúc, bánh_cuốn"
470.txt,868,404,"khách_sạn, gốm, bát_tràng, làng, du_lịch, hà_nội, bát, cổ, vntrip, địa_điểm"
471.txt,1201,515,"gốm, làng, bát_tràng, sản_phẩm, bát, xưởng, sứ, đồ, ảnh, di_chuyển"
472.txt,1446,523,"du_lịch, khách_sạn, pù_mát, vườn, quốc_gia, nghệ_an, rừng, hà_nội, sông, ivivu"
473.txt,1850,628,"vinwonders, phú_quốc, pù_mát, cửa_hội, rừng, du_khách, grand, nghệ_an, vinpearl, công_viên"
474.txt,1350,566,"biển, hòn, quy_nhơn, khô, đi, vnd, trải, du_lịch, đẹp, xanh"
476.txt,2243,715,"nha_trang, vinwonders, phú_quốc, hòn_tre, vinpearl, đảo, du_khách, grand, vé, world"
478.txt,957,461,"khách_sạn, du_lịch, ảnh, st, buôn_ma_thuột, đẹp, cà_phê, thác, địa_điểm, vntrip"
479.txt,1537,653,"du_lịch, khách_sạn, buôn_ma_thuột, cà_phê, hồ, đà_lạt, việt_nam, ivivu, ảnh, cẩm_nang"
48.txt,1676,832,"hải_phòng, đồng, du_khách, du_lịch, hoa, cát_bà, đi, đảo, thành_phố, khu"
480.txt,1514,570,"vnd, suối_tiên, vé, văn_hóa, du_lịch, trò_chơi, cá_sấu, công_viên, biển, vương_quốc"
481.txt,1083,391,"du_lịch, khách_sạn, sài_gòn, hồ_chí_minh, ivivu, khu, ảnh, đà_lạt, cẩm_nang, việt_nam"
482.txt,1088,477,"bảo_tàng, lịch_sử, hiện_vật, thành_phố, hồ_chí_minh, trưng_bày, văn_hóa, ảnh, không_gian, giá"
483.txt,2500,788,"bảo_tàng, lịch_sử, vinwonders, hồ_chí_minh, phú_quốc, grand, thành_phố, trưng_bày, công_viên, hiện_vật"
484.txt,1766,591,"vinwonders, bảo_tàng, đà_nẵng, điêu_khắc, phú_quốc, chăm, grand, safari, vinpearl, vé"
485.txt,1444,673,"đà_nẵng, bảo_tàng, chăm, điêu_khắc, đi, vé, tour, tham_quan, du_lịch, hội_an"
486.txt,1067,446,"cầu, rồng, đà_nẵng, phun, xe_máy, du_khách, lửa, thuê, thành_phố, độc_đáo"
487.txt,798,384,"cầu, rồng, đà_nẵng, màn, đường, phun, trình_diễn, đẹp, lửa, thành_phố"
488.txt,1460,643,"biển, quy_nhơn, vnd, cù_lao, đảo, xanh, du_khách, du_lịch, đi, khách_sạn"
489.txt,1340,472,"biển, xanh, cù_lao, đảo, di_chuyển, du_lịch, cù_lao_xanh, đẹp, xe_máy, vé"
49.txt,2323,1080,"hà_nội, bún, phố, du_khách, quán, món, ảnh, cầu, hàng, đi"
490.txt,1244,487,"tour, phú_yên, tháp_nhạn, miền, quảng_ninh, công_trình, bắc, tháp, chămpa, hà_nội"
491.txt,3454,781,"vinwonders, vé, phú_quốc, vinpearl, combo, cửa, grand, safari, tháp, công_viên"
492.txt,950,350,"du_lịch, khách_sạn, hà_nội, phòng, đà_lạt, ivivu, vũng_tàu, mai_châu, cẩm_nang, phú_quốc"
493.txt,813,416,"mai_châu, du_lịch, đẹp, mai_châu_hòa_bình, ấn_tượng, đèo, lác, dân_tộc, khám_phá, mia"
494.txt,800,445,"nhà_thờ, kon_tum, gỗ, du_lịch, kiến_trúc, đẹp, độc_đáo, món, ghé, mia"
495.txt,977,354,"du_lịch, khách_sạn, gỗ, nhà_thờ, tây_nguyên, đà_lạt, ivivu, việt_nam, hà_nội, vũng_tàu"
5.txt,1864,926,"bình_dương, món, du_khách, măng_cụt, tp, khu, dầu, hcm, tiếng, gà"
50.txt,1773,850,"hạ_long, vịnh, du_khách, đồng, du_lịch, bãi, biển, khu, đi, tàu"
51.txt,1629,734,"hội_an, đồng, cổ, phố, du_khách, hội, đi, giá, mùa, biển"
52.txt,1882,821,"hà_giang, đi, đường, đồng, đẹp, du_khách, đồng_văn, đèo, mèo, ảnh"
53.txt,721,342,"mặc_định, sống, hưng_yên, giáo_dục, kinh_doanh, doanh_nghiệp, tri_thức, awards, chính_sách, thị_trường"
54.txt,860,422,"mặc_định, hậu_giang, sống, giáo_dục, tp, kinh_doanh, doanh_nghiệp, tri_thức, awards, chính_sách"
55.txt,1645,756,"đảo, hòn, kiên_giang, rạch_giá, hà_tiên, phú_quốc, du_khách, đồng, biển, du_lịch"
56.txt,1475,707,"nha_trang, biển, du_khách, đảo, đồng, cam_ranh, hòn, khánh_hòa, đẹp, khu"
57.txt,1202,577,"kon_tum, măng_đen, mùa, du_khách, du_lịch, đồng, măng, hai, tây_nguyên, lá"
58.txt,748,395,"co, kỳ, đi, biển, quy_nhơn, du_lịch, đảo, bãi, du_khách, ngắm"
6.txt,1595,769,"bình_phước, rừng, món, du_lịch, huyện, thác, đồng_xoài, đi, núi, chùa"
60.txt,1398,658,"long_an, du_lịch, du_khách, đồng, tp, hcm, huyện, khu, cá, miền"
61.txt,1253,621,"lai_châu, du_lịch, núi, suối, đồng, hồ, du_khách, đèo, đỉnh, m"
62.txt,1601,724,"lào_cai, đỉnh, du_khách, chợ, đi, núi, sa_pa, đồng, mùa, fansipan"
63.txt,1711,824,"lạng_sơn, du_lịch, đi, núi, mùa, du_khách, huyện, đỉnh, mẫu_sơn, đồng"
64.txt,995,481,"lăng_cô, đèo, hải_vân, đẹp, du_khách, huế, vịnh, đầm, km, nằm"
65.txt,1210,539,"đảo, lý_sơn, biển, du_khách, đồng, bé, đi, vé, cảng, giá"
66.txt,895,436,"hà_giang, sông, nho, đường, du_khách, quế, mèo, vạc, đèo, lèng"
67.txt,1116,603,"măng_đen, măng, đi, du_lịch, đen, khu, gà, thị_trấn, kon_tum, ảnh"
68.txt,981,515,"mai_châu, đồng, đi, mùa, đẹp, mây, đèo, thác, du_lịch, km"
69.txt,1102,517,"mặc_định, đi, nghê, mũi, du_lịch, sống, biển, đá, đà_nẵng, đường"
7.txt,1212,627,"hồ, bể, bắc_kạn, du_lịch, du_khách, bắc, thành_phố, km, xã, khu"
70.txt,1292,601,"mù_cang_chải, mùa, du_khách, đi, đường, lúa, ảnh, ruộng, vàng, km"
71.txt,1419,617,"mộc_châu, đi, mùa, hoa, đường, mận, thác, đồng, ảnh, đồi"
72.txt,1309,616,"mũi, né, biển, du_khách, phan_thiết, cát, hòn, resort, đồi, du_lịch"
73.txt,1057,446,"nam_du, đảo, hòn, bãi, biển, du_khách, tàu, đi, đồng, đẹp"
74.txt,1146,539,"mặc_định, suối, vũng_tàu, núi, sống, trại, đi, bà_rịa, tp, đỉnh"
75.txt,1494,727,"nam_định, xíu, bánh, thịt, du_khách, ngon, biển, món, thành_phố, đường"
76.txt,1854,847,"vinh, nghệ_an, đền, biển, tp, du_khách, huyện, du_lịch, mùa, ảnh"
77.txt,1196,597,"ninh_thuận, biển, cá, du_khách, đá, nằm, phan_rang, ảnh, đi, vĩnh_hy"
78.txt,1261,635,"ninh_bình, du_khách, đồng, du_lịch, tham_quan, đi, dê, núi, động, vé"
79.txt,1473,716,"biển, du_khách, nha_trang, đồng, đảo, du_lịch, khu, thành_phố, núi, đẹp"
8.txt,1193,544,"bảo_lộc, du_khách, thành_phố, chè, trung_tâm, du_lịch, km, khu, thác, dambri"
80.txt,664,294,"mặc_định, sống, giáo_dục, kinh_doanh, doanh_nghiệp, tri_thức, awards, chính_sách, thị_trường, thi"
81.txt,1749,720,"mặc_định, hồ, phố, đi, hà_nội, hoàn_kiếm, quán, cà_phê, ảnh, tâm"
82.txt,1503,625,"mặc_định, đi, phố, du_khách, tp, xe, hcm, thành_phố, hoạt_động, du_lịch"
83.txt,946,523,"phan_thiết, biển, du_khách, du_lịch, mũi, đường, tp, né, bình_thuận, cá"
84.txt,2123,990,"phú_yên, biển, ảnh, du_khách, đồng, món, tuy_hòa, đá, đẹp, xanh"
85.txt,1061,524,"phú_thọ, du_khách, hùng, việt_trì, du_lịch, đền_hùng, đường, món, chè, mùa"
86.txt,1034,525,"luông, pù, du_khách, mùa, núi, ruộng, đồng, khu, lúa, du_lịch"
87.txt,2283,936,"phú_quốc, biển, đảo, du_khách, đi, đồng, resort, bãi, đẹp, đường"
88.txt,1248,640,"đảo, phú_quý, đi, biển, du_khách, tàu, du_lịch, sóng, hòn, cá"
89.txt,3307,1223,"quảng_trị, sông, hang, du_khách, km, nằm, biển, đồng_hới, thành, m"
9.txt,2262,995,"biển, vũng_tàu, du_khách, bà_rịa, món, núi, chùa, đường, rừng, đi"
90.txt,1626,812,"hội_an, đồng, quảng_nam, du_khách, resort, km, biển, du_lịch, thành_phố, tam_kỳ"
91.txt,1866,884,"quảng_ngãi, biển, đồng, sông, du_khách, thành_phố, du_lịch, đẹp, huyện, lý_sơn"
92.txt,2372,965,"sông, hang, quảng_bình, đồng_hới, du_khách, biển, du_lịch, tp, km, động"
93.txt,2771,1156,"quảng_ninh, hạ_long, du_khách, đảo, núi, du_lịch, biển, chùa, vịnh, bãi"
94.txt,910,418,"quan_lạn, bãi, đảo, biển, đẹp, đi, ảnh, đường, minh_châu, đồng"
95.txt,1639,751,"du_khách, quy_nhơn, đồng, du_lịch, biển, đi, làng, bãi, khu, chùa"
96.txt,1921,900,"mặc_định, sóc_trăng, bánh, chùa, bún, du_lịch, món, sống, văn_hóa, khmer"
97.txt,1381,698,"sơn_la, hoa, mộc_châu, du_khách, nở, du_lịch, tà_xùa, mùa, đồng, trâu"
98.txt,1208,626,"sầm_sơn, biển, du_lịch, đá, du_khách, bãi, đi, khách_sạn, hòn, đền"
99.txt,903,489,"hồ, trại, núi, sóc_sơn, đồng, cắm, hà_nội, đi, nghỉ, khu"
