id,title,url,url_id,source_file
123,"Cẩm nang Du lịch VŨNG TÀU 2025 từ A-Z: lưu trú, ăn chơi, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-ba-ria-vung-tau-4479713.html,9,123.html
124,Cẩm nang Du lịch VĨNH PHÚC 2024 từ A-Z: Top 8 địa điểm phải đến,https://vnexpress.net/cam-nang-du-lich-dai-lai-4609900.html,35,124.html
124,Cẩm nang Du lịch VĨNH PHÚC 2024 từ A-Z: Top 8 địa điểm phải đến,https://vnexpress.net/cam-nang-du-lich-tam-dao-4454746.html,113,124.html
126,"Cẩm nang Du lịch Yên Bái 2024 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-tu-le-4472621.html,111,126.html
126,"Cẩm nang Du lịch Yên Bái 2024 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-tram-tau-4645565.html,107,126.html
126,"Cẩm nang Du lịch Yên Bái 2024 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-ta-xua-4656282.html,106,126.html
126,"Cẩm nang Du lịch Yên Bái 2024 từ A-Z: Di chuyển, ăn chơi, thăm quan, đặc sản... mới nhất",https://vnexpress.net/cam-nang-du-lich-mu-cang-chai-4158151.html,70,126.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/V%C6%B0%E1%BB%9Dn_qu%E1%BB%91c_gia_Phong_Nha_%E2%80%93_K%E1%BA%BB_B%C3%A0ng,140,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ng%C5%A9_H%C3%A0nh_S%C6%A1n,288,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Khu_di_t%C3%ADch_l%E1%BB%8Bch_s%E1%BB%AD_v%C3%A0_danh_th%E1%BA%AFng_Y%C3%AAn_T%E1%BB%AD,313,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Khu_di_t%C3%ADch_P%C3%A1c_B%C3%B3,174,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/V%C6%B0%E1%BB%9Dn_qu%E1%BB%91c_gia_C%C3%A1t_Ti%C3%AAn,250,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_th%C3%A0nh_Th%C4%83ng_Long,150,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Th%C3%A1p_Po_Klong_Garai,299,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/%C4%90%E1%BB%8Ba_%C4%91%E1%BA%A1o_C%E1%BB%A7_Chi,297,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Th%C3%A0nh_nh%C3%A0_H%E1%BB%93,310,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ph%E1%BB%91_c%E1%BB%95_H%E1%BB%99i_An,129,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,"https://vi.wikipedia.org/wiki/Qu%E1%BA%A7n_th%E1%BB%83_di_t%C3%ADch_v%C3%A0_danh_th%E1%BA%AFng_Y%C3%AAn_T%E1%BB%AD_%E2%80%93_V%C4%A9nh_Nghi%C3%AAm_%E2%80%93_C%C3%B4n_S%C6%A1n,_Ki%E1%BA%BFp_B%E1%BA%A1c",312,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/G%C3%A0nh_%C4%90%C3%A1_%C4%90%C4%A9a,291,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Qu%E1%BA%A7n_th%E1%BB%83_danh_th%E1%BA%AFng_Tr%C3%A0ng_An,134,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Qu%E1%BA%A7n_%C4%91%E1%BA%A3o_C%C3%A1t_B%C3%A0,154,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ch%C3%B9a_B%E1%BB%95_%C4%90%C3%A0,301,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ru%E1%BB%99ng_b%E1%BA%ADc_thang_M%C3%B9_Cang_Ch%E1%BA%A3i,308,128.html
128,Quần thể di tích Cố đô Huế – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/H%E1%BB%93_Ba_B%E1%BB%83,148,128.html
